"job.id" "instance_size" "ipn" "ranking" "type"
1 100 1 "1-2" "pairwise"
2 100 1 "1-2" "pairwise"
3 100 1 "1-2" "pairwise"
4 100 1 "1-2" "pairwise"
5 100 1 "1-2" "pairwise"
6 100 1 "1-2" "pairwise"
7 100 1 "1-2" "pairwise"
8 100 1 "1-2" "pairwise"
9 100 1 "1-2" "pairwise"
10 100 1 "1-2" "pairwise"
11 100 1 "1-3" "pairwise"
12 100 1 "1-3" "pairwise"
13 100 1 "1-3" "pairwise"
14 100 1 "1-3" "pairwise"
15 100 1 "1-3" "pairwise"
16 100 1 "1-3" "pairwise"
17 100 1 "1-3" "pairwise"
18 100 1 "1-3" "pairwise"
19 100 1 "1-3" "pairwise"
20 100 1 "1-3" "pairwise"
21 100 1 "2-1" "pairwise"
22 100 1 "2-1" "pairwise"
23 100 1 "2-1" "pairwise"
24 100 1 "2-1" "pairwise"
25 100 1 "2-1" "pairwise"
26 100 1 "2-1" "pairwise"
27 100 1 "2-1" "pairwise"
28 100 1 "2-1" "pairwise"
29 100 1 "2-1" "pairwise"
30 100 1 "2-1" "pairwise"
31 100 1 "2-3" "pairwise"
32 100 1 "2-3" "pairwise"
33 100 1 "2-3" "pairwise"
34 100 1 "2-3" "pairwise"
35 100 1 "2-3" "pairwise"
36 100 1 "2-3" "pairwise"
37 100 1 "2-3" "pairwise"
38 100 1 "2-3" "pairwise"
39 100 1 "2-3" "pairwise"
40 100 1 "2-3" "pairwise"
41 100 1 "3-1" "pairwise"
42 100 1 "3-1" "pairwise"
43 100 1 "3-1" "pairwise"
44 100 1 "3-1" "pairwise"
45 100 1 "3-1" "pairwise"
46 100 1 "3-1" "pairwise"
47 100 1 "3-1" "pairwise"
48 100 1 "3-1" "pairwise"
49 100 1 "3-1" "pairwise"
50 100 1 "3-1" "pairwise"
51 100 1 "3-2" "pairwise"
52 100 1 "3-2" "pairwise"
53 100 1 "3-2" "pairwise"
54 100 1 "3-2" "pairwise"
55 100 1 "3-2" "pairwise"
56 100 1 "3-2" "pairwise"
57 100 1 "3-2" "pairwise"
58 100 1 "3-2" "pairwise"
59 100 1 "3-2" "pairwise"
60 100 1 "3-2" "pairwise"
61 100 3 "1-2" "pairwise"
62 100 3 "1-2" "pairwise"
63 100 3 "1-2" "pairwise"
64 100 3 "1-2" "pairwise"
65 100 3 "1-2" "pairwise"
66 100 3 "1-2" "pairwise"
67 100 3 "1-2" "pairwise"
68 100 3 "1-2" "pairwise"
69 100 3 "1-2" "pairwise"
70 100 3 "1-2" "pairwise"
71 100 3 "1-3" "pairwise"
72 100 3 "1-3" "pairwise"
73 100 3 "1-3" "pairwise"
74 100 3 "1-3" "pairwise"
75 100 3 "1-3" "pairwise"
76 100 3 "1-3" "pairwise"
77 100 3 "1-3" "pairwise"
78 100 3 "1-3" "pairwise"
79 100 3 "1-3" "pairwise"
80 100 3 "1-3" "pairwise"
81 100 3 "2-1" "pairwise"
82 100 3 "2-1" "pairwise"
83 100 3 "2-1" "pairwise"
84 100 3 "2-1" "pairwise"
85 100 3 "2-1" "pairwise"
86 100 3 "2-1" "pairwise"
87 100 3 "2-1" "pairwise"
88 100 3 "2-1" "pairwise"
89 100 3 "2-1" "pairwise"
90 100 3 "2-1" "pairwise"
91 100 3 "2-3" "pairwise"
92 100 3 "2-3" "pairwise"
93 100 3 "2-3" "pairwise"
94 100 3 "2-3" "pairwise"
